time_ms,acc_x_g,acc_y_g,acc_z_g,pitch_deg,roll_deg,gyr_x_dps,gyr_y_dps,gyr_z_dps,label,source_file
5223053,0.815,0.482,-0.14,-61.24,105.58,3.09,11.971,-3.059,seatedmarch,seatedMarch_session1.xlsx
5223291,0.801,0.506,-0.215,-58.33,112.19,15.007,-4.852,-4.852,seatedmarch,seatedMarch_session1.xlsx
5223806,0.753,0.511,-0.311,-53.83,120.52,-13.863,1.747,13.489,seatedmarch,seatedMarch_session1.xlsx
5224384,0.807,0.488,-0.223,-59.34,113.77,4.707,1.289,-1.511,seatedmarch,seatedMarch_session1.xlsx
5224710,0.771,0.595,-0.275,-51.72,113.62,13.512,-18.089,-8.331,seatedmarch,seatedMarch_session1.xlsx
5225014,0.8,0.472,-0.325,-57.4,123.97,-9.72,0.229,11.52,seatedmarch,seatedMarch_session1.xlsx
5225313,0.838,0.534,-0.189,-59.11,108.64,-7.591,12.825,7.301,seatedmarch,seatedMarch_session1.xlsx
5225667,0.81,0.438,-0.231,-61.62,117.25,9.789,-0.816,-4.662,seatedmarch,seatedMarch_session1.xlsx
5225942,0.785,0.52,-0.309,-55.06,119.84,2.518,-10.75,-10.88,seatedmarch,seatedMarch_session1.xlsx
5226215,0.813,0.477,-0.305,-58.3,121.94,-7.202,0.534,6.912,seatedmarch,seatedMarch_session1.xlsx
5226434,0.863,0.55,-0.235,-58.85,112.16,-7.805,0.031,3.464,seatedmarch,seatedMarch_session1.xlsx
5226695,0.828,0.46,-0.253,-60.93,118.12,4.99,1.587,5.867,seatedmarch,seatedMarch_session1.xlsx
5226963,0.801,0.506,-0.247,-57.73,115.14,9.682,0.458,-11.429,seatedmarch,seatedMarch_session1.xlsx
5227144,0.774,0.535,-0.308,-53.89,119.05,5.76,-4.143,-8.392,seatedmarch,seatedMarch_session1.xlsx
5227339,0.785,0.489,-0.316,-56.21,122.23,-11.993,-5.699,12.627,seatedmarch,seatedMarch_session1.xlsx
5227542,0.812,0.564,-0.213,-56.12,109.72,-10.3,1.465,-3.731,seatedmarch,seatedMarch_session1.xlsx
5227715,0.777,0.495,-0.21,-57.85,112.25,8.553,9.85,0.496,seatedmarch,seatedMarch_session1.xlsx
5228021,0.805,0.54,-0.292,-55.54,117.48,6.851,-5.707,-6.34,seatedmarch,seatedMarch_session1.xlsx
5228255,0.773,0.56,-0.37,-51.42,122.52,-2.388,-18.456,-17.349,seatedmarch,seatedMarch_session1.xlsx
5228611,0.794,0.539,-0.298,-54.91,117.94,-10.773,8.598,12.794,seatedmarch,seatedMarch_session1.xlsx
5228779,0.823,0.513,-0.193,-59.38,109.8,4.089,16.388,3.38,seatedmarch,seatedMarch_session1.xlsx
5229003,0.799,0.445,-0.266,-60.0,120.26,13.046,7.858,3.281,seatedmarch,seatedMarch_session1.xlsx
5229223,0.834,0.505,-0.276,-58.75,117.78,6.035,-9.636,-7.874,seatedmarch,seatedMarch_session1.xlsx
5229388,0.75,0.514,-0.302,-53.77,119.61,-2.266,-1.099,-13.245,seatedmarch,seatedMarch_session1.xlsx
5229717,0.825,0.46,-0.302,-59.67,122.65,-15.541,1.633,8.583,seatedmarch,seatedMarch_session1.xlsx
5229954,0.644,0.521,-0.104,-51.43,100.8,-1.968,18.982,-8.583,seatedmarch,seatedMarch_session1.xlsx
5230180,0.803,0.458,-0.266,-59.61,119.44,-16.151,12.299,-23.285,seatedmarch,seatedMarch_session1.xlsx
5230407,0.746,0.627,-0.136,-50.62,101.37,27.908,-27.512,13.176,seatedmarch,seatedMarch_session1.xlsx
5230578,0.736,0.499,-0.306,-53.67,120.74,-17.906,2.419,-48.027,seatedmarch,seatedMarch_session1.xlsx
5230746,0.749,0.481,-0.336,-54.33,124.3,-3.105,-8.003,20.691,seatedmarch,seatedMarch_session1.xlsx
5230908,0.789,0.522,-0.315,-55.06,120.29,-17.715,-4.265,5.638,seatedmarch,seatedMarch_session1.xlsx
5231155,0.768,0.549,-0.22,-54.59,110.92,-8.583,9.911,-11.024,seatedmarch,seatedMarch_session1.xlsx
5231312,0.781,0.464,-0.231,-59.16,115.83,8.858,2.037,-1.389,seatedmarch,seatedMarch_session1.xlsx
5231474,0.797,0.467,-0.265,-58.92,118.9,6.096,-1.198,4.73,seatedmarch,seatedMarch_session1.xlsx
5231636,0.846,0.622,-0.35,-52.99,118.01,14.03,-8.064,-0.626,seatedmarch,seatedMarch_session1.xlsx
5231829,0.741,0.527,-0.313,-52.53,119.82,-7.973,-1.991,-1.144,seatedmarch,seatedMarch_session1.xlsx
5232065,0.827,0.539,-0.303,-56.42,118.45,-59.357,-14.084,-41.313,seatedmarch,seatedMarch_session1.xlsx
5232300,0.787,1.037,-0.427,-29.04,105.67,230.873,-16.235,-0.496,seatedmarch,seatedMarch_session1.xlsx
5232458,0.782,0.804,-0.165,-43.44,100.07,-83.504,149.651,7.843,seatedmarch,seatedMarch_session1.xlsx
5232616,0.752,0.525,0.087,-56.66,81.07,-98.076,-58.8,-33.913,seatedmarch,seatedMarch_session1.xlsx
5232779,0.385,0.375,0.446,-33.33,39.74,-54.23,67.192,-5.806,seatedmarch,seatedMarch_session1.xlsx
5232941,-0.043,-0.026,-0.22,10.94,-173.29,-139.13,1.251,249.992,seatedmarch,seatedMarch_session1.xlsx
5233096,1.441,-0.616,-0.52,-61.31,-129.53,-138.397,-175.102,76.843,seatedmarch,seatedMarch_session1.xlsx
5233300,1.047,-0.724,-0.516,-58.2,-123.81,-38.147,19.157,56.519,seatedmarch,seatedMarch_session1.xlsx
5233458,0.627,-0.752,-0.459,-34.76,-119.23,-28.74,19.15,66.795,seatedmarch,seatedMarch_session1.xlsx
5233616,0.718,-0.829,-0.32,-37.87,-108.45,-14.351,45.456,20.424,seatedmarch,seatedMarch_session1.xlsx
5238993,0.218,0.54,0.267,-19.18,64.63,-11.436,15.083,134.132,seatedmarch,seatedMarch_session2.xlsx
5239242,1.265,0.238,0.147,-79.83,58.54,-12.085,-5.928,-56.885,seatedmarch,seatedMarch_session2.xlsx
5239410,0.775,0.424,0.035,-63.67,85.39,93.704,93.735,-5.043,seatedmarch,seatedMarch_session2.xlsx
5239664,0.728,0.504,0.416,-50.17,50.88,-17.38,11.108,2.281,seatedmarch,seatedMarch_session2.xlsx
5239838,0.883,0.49,0.363,-59.69,54.03,-9.59,-5.455,-34.508,seatedmarch,seatedMarch_session2.xlsx
5240220,0.622,0.514,0.335,-46.41,57.64,4.761,-4.059,19.47,seatedmarch,seatedMarch_session2.xlsx
5240422,0.908,0.665,0.269,-55.69,69.48,11.581,-19.905,-2.06,seatedmarch,seatedMarch_session2.xlsx
5240651,0.637,0.502,0.271,-49.32,62.46,-22.865,3.471,-9.071,seatedmarch,seatedMarch_session2.xlsx
5240836,0.776,0.556,0.3,-53.24,62.67,-12.398,-3.761,7.507,seatedmarch,seatedMarch_session2.xlsx
5241094,0.734,0.448,0.411,-52.7,47.61,4.799,18.509,2.884,seatedmarch,seatedMarch_session2.xlsx
5241278,0.793,0.51,0.31,-55.83,59.55,12.917,-0.969,2.014,seatedmarch,seatedMarch_session2.xlsx
5241430,0.782,0.516,0.407,-52.62,52.35,1.19,-2.899,-1.534,seatedmarch,seatedMarch_session2.xlsx
5241589,0.816,0.58,0.304,-54.07,63.44,5.074,-0.557,-10.62,seatedmarch,seatedMarch_session2.xlsx
5241755,0.699,0.509,0.263,-52.37,63.51,-6.523,-3.815,-3.426,seatedmarch,seatedMarch_session2.xlsx
5241919,0.775,0.534,0.256,-55.04,65.3,-5.013,-8.713,14.969,seatedmarch,seatedMarch_session2.xlsx
5242110,0.935,0.505,0.467,-59.26,47.46,1.9,0.954,17.044,seatedmarch,seatedMarch_session2.xlsx
5242292,0.723,0.427,0.296,-56.55,55.71,4.265,9.399,-0.336,seatedmarch,seatedMarch_session2.xlsx
5242458,0.772,0.429,0.361,-56.83,50.2,5.859,-16.014,11.024,seatedmarch,seatedMarch_session2.xlsx
5242694,1.025,0.544,0.331,-67.0,59.64,-3.578,-17.54,-5.905,seatedmarch,seatedMarch_session2.xlsx
5242858,0.764,0.571,0.255,-52.82,67.04,-38.887,35.492,-43.007,seatedmarch,seatedMarch_session2.xlsx
5243049,0.863,0.636,0.368,-52.97,61.34,20.691,-15.869,29.419,seatedmarch,seatedMarch_session2.xlsx
5243231,0.637,0.514,0.468,-43.52,47.96,-15.167,3.273,-16.411,seatedmarch,seatedMarch_session2.xlsx
5243387,0.747,0.49,0.475,-49.82,46.02,-1.595,17.22,-4.654,seatedmarch,seatedMarch_session2.xlsx
5243578,0.54,0.452,0.448,-40.86,45.26,-0.511,-3.456,-6.157,seatedmarch,seatedMarch_session2.xlsx
5243765,0.955,0.656,0.462,-55.82,56.14,-5.959,13.123,31.54,seatedmarch,seatedMarch_session2.xlsx
5243927,0.675,0.51,0.359,-48.77,55.52,-0.053,26.276,-29.236,seatedmarch,seatedMarch_session2.xlsx
5244146,0.7,0.585,0.464,-44.51,52.29,-13.405,-0.313,-5.768,seatedmarch,seatedMarch_session2.xlsx
5244299,0.676,0.567,0.551,-41.5,45.94,-22.499,12.65,-4.227,seatedmarch,seatedMarch_session2.xlsx
5244463,0.6,0.532,0.603,-36.9,40.93,6.874,16.167,-12.238,seatedmarch,seatedMarch_session2.xlsx
5244658,0.629,0.533,0.484,-41.98,48.07,10.071,5.409,3.044,seatedmarch,seatedMarch_session2.xlsx
5244905,0.585,0.646,0.549,-34.4,50.38,11.063,0.679,-0.481,seatedmarch,seatedMarch_session2.xlsx
5245072,0.617,0.594,0.42,-40.79,55.72,3.853,3.983,-21.515,seatedmarch,seatedMarch_session2.xlsx
5245285,0.679,0.605,0.481,-42.27,52.3,-20.187,-9.399,-0.13,seatedmarch,seatedMarch_session2.xlsx
5245441,0.576,0.587,0.612,-33.99,43.64,-30.197,-0.923,10.933,seatedmarch,seatedMarch_session2.xlsx
5245603,0.585,0.508,0.583,-37.31,40.55,-1.114,6.706,0.13,seatedmarch,seatedMarch_session2.xlsx
5245763,0.634,0.469,0.552,-42.05,39.82,22.018,13.359,19.165,seatedmarch,seatedMarch_session2.xlsx
5245922,0.589,0.528,0.588,-36.89,41.53,33.478,16.602,15.03,seatedmarch,seatedMarch_session2.xlsx
5246090,0.551,0.69,0.474,-32.77,57.05,-0.381,-9.804,-3.136,seatedmarch,seatedMarch_session2.xlsx
5246242,0.652,0.513,0.453,-44.79,48.93,-9.331,-13.535,-18.677,seatedmarch,seatedMarch_session2.xlsx
5246403,0.712,0.606,0.472,-44.17,52.99,1.358,-22.034,14.526,seatedmarch,seatedMarch_session2.xlsx
5246557,0.613,0.551,0.622,-36.57,41.03,-19.211,-1.244,0.694,seatedmarch,seatedMarch_session2.xlsx
5246724,0.668,0.516,0.469,-45.08,48.01,1.465,13.489,-16.182,seatedmarch,seatedMarch_session2.xlsx
5246875,0.662,0.491,0.476,-45.38,45.92,2.312,-5.547,1.16,seatedmarch,seatedMarch_session2.xlsx
5247132,0.596,0.562,0.523,-38.16,47.31,3.395,-6.66,-1.732,seatedmarch,seatedMarch_session2.xlsx
5247294,0.777,0.644,0.413,-47.37,58.69,7.767,7.729,-8.942,seatedmarch,seatedMarch_session2.xlsx
5247454,0.622,0.538,0.362,-44.73,56.88,-13.199,-1.541,-5.89,seatedmarch,seatedMarch_session2.xlsx
5247618,0.675,0.583,0.467,-43.19,52.03,-9.544,-6.172,7.309,seatedmarch,seatedMarch_session2.xlsx
5247785,0.703,0.547,0.583,-42.54,42.9,2.693,15.434,0.305,seatedmarch,seatedMarch_session2.xlsx
5248788,0.647,0.55,0.545,-40.63,45.24,-23.499,6.897,14.046,seatedmarch,seatedMarch_session2.xlsx
5248954,0.68,0.512,0.57,-42.68,41.56,20.859,19.173,-0.191,seatedmarch,seatedMarch_session2.xlsx
5249122,0.648,0.531,0.483,-43.13,47.99,21.66,3.387,8.827,seatedmarch,seatedMarch_session2.xlsx
5249278,0.635,0.586,0.39,-42.8,57.39,12.169,-20.401,-4.654,seatedmarch,seatedMarch_session2.xlsx
5249482,0.68,0.67,0.429,-41.11,58.86,8.354,-5.142,-16.06,seatedmarch,seatedMarch_session2.xlsx
5249641,0.618,0.608,0.333,-42.13,62.58,0.603,-5.684,-3.532,seatedmarch,seatedMarch_session2.xlsx
5249797,0.685,0.65,0.392,-42.82,60.32,-26.169,-12.619,10.544,seatedmarch,seatedMarch_session2.xlsx
5249958,0.707,0.531,0.54,-44.47,44.49,-31.761,0.038,3.845,seatedmarch,seatedMarch_session2.xlsx
5250195,0.681,0.467,0.49,-46.71,43.51,20.607,4.99,21.652,seatedmarch,seatedMarch_session2.xlsx
5250356,0.72,0.483,0.437,-49.91,48.16,22.301,1.213,7.339,seatedmarch,seatedMarch_session2.xlsx
5250511,0.732,0.595,0.487,-45.2,51.39,37.14,-7.462,-7.156,seatedmarch,seatedMarch_session2.xlsx
5250705,0.632,0.587,0.344,-43.59,60.79,0.397,-0.366,-4.684,seatedmarch,seatedMarch_session2.xlsx
5250926,0.718,0.583,0.386,-47.34,57.48,-18.623,-5.066,1.495,seatedmarch,seatedMarch_session2.xlsx
5251123,0.733,0.48,0.52,-47.98,42.46,-13.397,6.828,6.905,seatedmarch,seatedMarch_session2.xlsx
5251289,0.698,0.489,0.474,-47.4,45.98,8.324,11.467,12.97,seatedmarch,seatedMarch_session2.xlsx
5251501,0.719,0.496,0.437,-49.36,48.89,10.979,-0.069,3.41,seatedmarch,seatedMarch_session2.xlsx
5251731,0.711,0.555,0.454,-46.38,51.34,28.664,-5.791,-35.255,seatedmarch,seatedMarch_session2.xlsx
5251933,0.654,0.624,0.279,-44.32,67.26,-4.73,-6.111,-2.617,seatedmarch,seatedMarch_session2.xlsx
5252098,0.678,0.654,0.353,-43.02,63.2,-31.387,-7.034,-0.832,seatedmarch,seatedMarch_session2.xlsx
5252261,0.699,0.58,0.456,-44.8,52.54,15.327,18.578,15.045,seatedmarch,seatedMarch_session2.xlsx
5252428,0.64,0.56,0.522,-40.64,47.22,-9.621,20.515,4.12,seatedmarch,seatedMarch_session2.xlsx
5056550,-0.736,0.014,0.361,65.94,2.22,-152.344,-1.083,10.857,sidebends,sideBends_session1.xlsx
5056815,-0.982,0.396,0.319,69.35,51.43,249.992,125.153,-4.509,sidebends,sideBends_session1.xlsx
5056970,-0.74,0.562,0.223,52.53,69.33,-132.164,-115.005,75.867,sidebends,sideBends_session1.xlsx
5057181,-0.475,0.562,0.308,36.32,62.34,24.414,-65.559,-12.794,sidebends,sideBends_session1.xlsx
5057495,-0.11,0.677,0.909,4.61,33.11,69.641,-75.714,72.899,sidebends,sideBends_session1.xlsx
5057679,0.09,0.953,0.635,-3.58,61.45,26.947,-32.921,64.415,sidebends,sideBends_session1.xlsx
5057880,0.162,1.005,0.441,-5.69,73.78,33.73,-21.53,17.54,sidebends,sideBends_session1.xlsx
5058050,0.263,0.986,0.387,-10.35,74.16,28.404,1.289,18.196,sidebends,sideBends_session1.xlsx
5058305,0.368,1.006,0.428,-12.99,74.27,-9.972,4.654,4.944,sidebends,sideBends_session1.xlsx
5058476,0.275,1.264,0.534,-9.46,70.28,-39.452,37.895,-105.782,sidebends,sideBends_session1.xlsx
5058630,-0.014,0.836,0.51,0.74,61.59,-28.694,77.408,-89.584,sidebends,sideBends_session1.xlsx
5058791,-0.235,0.626,0.464,15.91,54.5,-25.146,35.751,-72.151,sidebends,sideBends_session1.xlsx
5058961,-0.497,0.57,0.619,29.95,42.28,-23.346,40.306,-37.964,sidebends,sideBends_session1.xlsx
5059294,-0.72,0.575,0.227,50.83,69.55,-31.288,32.944,14.725,sidebends,sideBends_session1.xlsx
5059470,-0.808,0.504,0.334,56.24,57.22,9.102,10.109,7.309,sidebends,sideBends_session1.xlsx
5059825,-0.964,0.334,0.372,68.56,41.73,10.62,90.378,-94.521,sidebends,sideBends_session1.xlsx
5060013,-0.865,-0.06,0.353,70.7,-9.44,-250.0,-86.731,92.712,sidebends,sideBends_session1.xlsx
5060394,-2.0,1.704,2.0,35.26,45.0,-87.616,160.576,-250.0,sidebends,sideBends_session1.xlsx
5060548,-0.404,0.152,0.036,69.4,76.7,-23.636,-99.403,-20.508,sidebends,sideBends_session1.xlsx
5060706,-0.938,0.29,0.353,69.07,39.18,-70.816,-136.368,-31.487,sidebends,sideBends_session1.xlsx
5060867,-0.942,0.264,0.801,51.76,16.05,-51.201,-49.431,25.604,sidebends,sideBends_session1.xlsx
5061025,-0.744,0.155,0.929,34.95,7.44,-28.854,-59.212,17.982,sidebends,sideBends_session1.xlsx
5061205,-0.486,0.017,1.006,17.89,0.61,17.288,-40.642,1.198,sidebends,sideBends_session1.xlsx
5061364,-0.5,0.057,1.006,18.42,2.06,-6.783,-17.342,15.594,sidebends,sideBends_session1.xlsx
5061517,-0.523,0.09,1.091,19.27,3.27,-6.172,14.198,14.824,sidebends,sideBends_session1.xlsx
5061671,-0.498,0.069,0.97,21.48,2.98,-15.915,31.578,20.943,sidebends,sideBends_session1.xlsx
5061871,-0.659,0.145,0.91,31.99,7.23,-21.408,45.891,14.862,sidebends,sideBends_session1.xlsx
5062025,-0.967,0.319,0.79,53.66,19.63,18.105,125.694,19.981,sidebends,sideBends_session1.xlsx
5062177,-0.613,0.407,0.449,46.5,41.94,120.026,151.756,-5.486,sidebends,sideBends_session1.xlsx
5062356,-0.767,-0.014,0.143,80.61,-5.52,124.481,70.076,38.635,sidebends,sideBends_session1.xlsx
5062594,-1.13,-0.199,-0.294,77.13,-146.08,69.176,120.88,-207.787,sidebends,sideBends_session1.xlsx
5062754,-0.83,-0.564,-0.785,42.12,-146.41,249.992,-250.0,23.338,sidebends,sideBends_session1.xlsx
5062920,-0.935,-0.331,-0.349,67.9,-136.58,-55.359,-84.198,-1.511,sidebends,sideBends_session1.xlsx
5063112,-0.74,-0.1,-0.547,54.83,-170.14,6.065,-77.873,-111.603,sidebends,sideBends_session1.xlsx
5063280,-0.787,-0.326,-0.424,58.77,-142.87,117.363,-45.204,-46.974,sidebends,sideBends_session1.xlsx
5063450,-0.802,-0.39,-0.096,66.15,-103.45,80.864,17.014,105.522,sidebends,sideBends_session1.xlsx
5063626,-1.14,-0.338,0.053,77.49,-81.21,49.217,-58.044,103.432,sidebends,sideBends_session1.xlsx
5063941,-1.067,0.234,0.207,78.66,48.62,7.614,-56.793,52.361,sidebends,sideBends_session1.xlsx
5064145,-0.937,0.388,0.287,67.85,53.84,5.219,-17.647,18.074,sidebends,sideBends_session1.xlsx
5064304,-0.847,0.378,0.337,62.85,48.46,-5.058,-5.638,20.882,sidebends,sideBends_session1.xlsx
5064471,-0.931,0.366,0.395,65.23,42.71,2.472,-1.572,8.865,sidebends,sideBends_session1.xlsx
5064640,-0.871,0.431,0.382,60.69,48.64,-7.683,-2.014,-4.135,sidebends,sideBends_session1.xlsx
5064799,-0.946,0.437,0.4,63.75,47.77,2.495,9.064,-11.04,sidebends,sideBends_session1.xlsx
5065342,-1.018,0.145,0.154,82.32,43.25,23.064,29.167,-13.092,sidebends,sideBends_session1.xlsx
5065504,-0.921,0.151,0.099,81.19,56.74,4.585,24.139,-1.64,sidebends,sideBends_session1.xlsx
5065689,-0.889,0.211,-0.131,77.13,121.61,-8.995,20.004,5.768,sidebends,sideBends_session1.xlsx
5065847,-1.192,0.115,-0.237,80.4,154.38,-24.536,57.014,22.72,sidebends,sideBends_session1.xlsx
5066009,-1.308,-0.11,-0.261,79.69,-157.34,-62.408,147.484,-104.797,sidebends,sideBends_session1.xlsx
5066185,-0.641,0.354,-0.366,53.21,135.94,-5.745,53.253,-94.33,sidebends,sideBends_session1.xlsx
5066347,-0.468,0.447,-0.771,26.06,152.22,-38.994,90.851,12.917,sidebends,sideBends_session1.xlsx
5066503,-0.411,0.033,-0.867,21.98,178.21,249.992,249.992,134.14,sidebends,sideBends_session1.xlsx
5066662,-0.037,-0.261,-1.083,1.32,-170.44,249.992,249.992,98.686,sidebends,sideBends_session1.xlsx
5067036,0.578,-0.157,-0.744,-35.82,-169.37,24.376,31.7,-24.712,sidebends,sideBends_session1.xlsx
5067202,0.369,-0.233,-0.401,-38.5,-150.25,153.793,-12.108,-27.824,sidebends,sideBends_session1.xlsx
5067360,0.225,-0.114,-0.755,-14.74,-172.4,118.988,-189.445,-38.353,sidebends,sideBends_session1.xlsx
5067637,0.015,-0.235,-1.158,-0.54,-171.42,-9.178,-104.584,-5.501,sidebends,sideBends_session1.xlsx
5067796,-0.168,-0.367,-1.059,5.96,-166.53,-11.742,-68.474,36.118,sidebends,sideBends_session1.xlsx
5067959,-0.245,-0.454,-1.01,8.58,-163.3,28.061,-26.352,5.882,sidebends,sideBends_session1.xlsx
5068154,-0.421,-0.339,-0.918,19.7,-163.42,-5.096,-9.277,13.954,sidebends,sideBends_session1.xlsx
5068355,-0.465,-0.402,-0.837,24.22,-157.37,5.18,-8.049,11.017,sidebends,sideBends_session1.xlsx
5068639,-0.495,-0.401,-0.951,21.38,-161.84,-2.655,-0.42,0.313,sidebends,sideBends_session1.xlsx
5068796,-0.363,-0.213,-1.121,13.19,-172.23,-30.342,20.996,-23.796,sidebends,sideBends_session1.xlsx
5069054,-0.213,-0.151,-1.034,7.76,-174.49,-13.55,96.008,14.748,sidebends,sideBends_session1.xlsx
5069260,0.062,-0.075,-0.969,-2.66,-176.76,-22.049,83.0,34.836,sidebends,sideBends_session1.xlsx
5069419,0.26,-0.024,-0.783,-16.32,-178.46,-64.369,80.048,71.999,sidebends,sideBends_session1.xlsx
5069577,0.333,-0.195,-0.642,-25.13,-164.27,-6.454,56.725,103.065,sidebends,sideBends_session1.xlsx
5069733,0.41,-0.287,-0.875,-20.95,-164.71,-26.108,10.292,3.181,sidebends,sideBends_session1.xlsx
5069966,0.216,-0.14,-0.841,-12.2,-172.0,78.194,-162.27,-100.159,sidebends,sideBends_session1.xlsx
